,lowest,family
0,Actinauge verrillii,Hormathiidae
1,Actinernus,Actinernidae
2,Actiniaria,Actiniaria
3,Actiniidae,Actiniidae
4,Actiniidae sp. 1,Actiniidae
5,Actinoscyphia,Actinoscyphiidae
6,Actinostolidae,Actinostolidae
7,Actinostoloidea,Actinostoloidea
8,Bathyphellia,Bathyphellidae
9,Bathyphellia australis,Bathyphellidae
10,Bolocera,Actiniidae
11,Bolocera kensmithi,Actiniidae
12,Dofleinia,Actiniidae
13,Exocoelactis,Exocoelactinidae
14,Hormathiidae,Hormathiidae
15,Hormathiidae sp. 1,Hormathiidae
16,Iosactis,Iosactinidae
17,Iosactis vagabunda,Iosactinidae
18,Isosicyonis,Actiniidae
19,Liponema,Liponematidae
20,Liponema brevicorne,Liponematidae
21,Metridium farcimen,Metridiidae
22,Ostiactis pearseae,Ostiactinidae
23,Sicyonis,Actinostolidae
24,Sicyonis careyi,Actinostolidae
25,Stomphia,Actinostolidae
26,Stomphia didemon,Actinostolidae
27,Urticina,Actiniidae
28,Acanthurus xanthopterus,Acanthuridae
29,Actinopterygii,Actinopterygii
30,Agonidae,Agonidae
31,Albatrossia,Macrouridae
32,Albatrossia pectoralis,Macrouridae
33,Alepisaurus ferox,Alepisauridae
34,Alepocephalus tenebrosus,Alepocephalidae
35,Anarrhichthys ocellatus,Anarhichadidae
36,Anoplogaster cornuta,Anoplogasteridae
37,Anoplopoma fimbria,Anoplopomatidae
38,Anotopterus nikparini,Anotopteridae
39,Antimora microlepis,Moridae
40,Aphyonidae,Aphyonidae
41,Apogon pacificus,Apogonidae
42,Bathylagidae,Bathylagidae
43,Bathylagus,Bathylagidae
44,Bathypterois,Ipnopidae
45,Bathypterois grallator,Ipnopidae
46,Bathypterois pectinatus,Ipnopidae
47,Bathysaurus mollis,Bathysauridae
48,Benthalbella,Scopelarchidae
49,Bodianus diplotaenia,Labridae
50,Bregmaceros bathymaster,Bregmacerotidae
51,Careproctus,Liparidae
52,Careproctus kamikawai,Liparidae
53,Careproctus melanurus,Liparidae
54,Careproctus ovigerus,Liparidae
55,Cataetyx,Bythitidae
56,Cetostoma regani,Cetomimidae
57,Chaenophryne,Oneirodidae
58,Chaetodon humeralis,Chaetodontidae
59,Chaunacops coloratus,Chaunacidae
60,Cherublemma emmelas,Ophidiidae
61,Chilara taylori,Ophidiidae
62,Chromis limbaughi,Pomacentridae
63,Coelorinchus doryssus,Macrouridae
64,Coelorinchus scaphopsis,Macrouridae
65,Coelorinchus spilonotus,Macrouridae
66,Coryphaenoides,Macrouridae
67,Coryphaenoides acrolepis,Macrouridae
