,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Actinauge verrillii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actinernus,0,0,0,0,0,0,0,0,0,0,0,0,37,3,45,21,2,27,11,3,0,6,3,0,5,0,487,4,45,0,312,16
Actiniaria,0,0,0,2,6,16,0,0,0,0,0,1,112,25,51,100,24,86,87,27,24,131,33,188,40,446,404,84,141,105,26,114
Actiniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actiniidae sp. 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,1,5,41,4,7,19,19,6,0,11,22,6,23,5,1,52
Actinoscyphia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinostolidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,0,0,2,1,2,0,6
Actinostoloidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,4,7,9,1,2,2,6,10,1,6,8,0,0
Bathyphellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bathyphellia australis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,7,0,6,5,0,8,0,4,13,7,0
Bolocera,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,7,0,0,0,2,11,1,6,4,6,3,0,0,0
Bolocera kensmithi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,8,0,4,0,4,0,1,4,6,2,4,2,0
Dofleinia,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,4,5,0,2,0,0,0,0,3,0,0,1,0,0,1,0
Exocoelactis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Hormathiidae,0,0,0,0,1,0,0,0,0,0,0,0,10,11,5,9,3,6,10,1,0,2,4,4,2,45,71,7,21,14,4,15
Hormathiidae sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,13,17,20,5,1,17,11,4,3,0,1,0
Iosactis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Iosactis vagabunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,0,0,3,2,3,5,15,3,3,5,0
Isosicyonis,0,0,0,0,2,0,0,0,0,0,0,1,14,1,11,2,19,116,74,18,26,63,48,27,33,65,25,50,8,14,19,32
Liponema,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,4,0,2,0,1,5,0,0,0,8,0,0,1,1,0
Liponema brevicorne,0,0,0,2,0,0,0,0,0,0,0,2,106,19,70,60,67,49,31,23,35,6,41,13,7,42,137,35,11,17,93,99
Metridium farcimen,0,0,0,0,0,2,0,0,0,0,0,0,263,2,34,45,12,45,1,52,52,33,125,46,0,5,58,82,53,19,187,4
Ostiactis pearseae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,14,0
Sicyonis,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,6,2,3,0,0,0,0,0,5,0,1,0,0,0,0
Sicyonis careyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stomphia,0,0,0,1,6,0,0,0,0,0,0,0,10,6,0,3,1,2,3,0,2,0,0,0,0,0,2,1,3,0,0,0
Stomphia didemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,1,0,0,0,11,2,9,0,0,0
Urticina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0
Acanthurus xanthopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinopterygii,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,1,3,11,7,7,5,4,6,5,1,1,1,3
Agonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0
Albatrossia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Albatrossia pectoralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0
Alepisaurus ferox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Alepocephalus tenebrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
Anarrhichthys ocellatus,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anoplogaster cornuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,10,0,0,0,1,0,39,0,0,0,18,0
Anoplopoma fimbria,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,6,29,20,3,4,8,5,4,1,27,6,6,8,4,22,17
Anotopterus nikparini,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,14,3,1,1,2,15,0,0,0,9,0
Antimora microlepis,0,0,0,0,0,0,0,0,0,0,0,0,19,18,44,15,39,35,36,21,4,24,7,16,10,23,19,32,14,5,1,8
Aphyonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apogon pacificus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathylagidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0
