concept              |  # boxes
---------------------|---------
                     |       33
Acanthogorgiidae     |        1
Actinernidae         |       17
Actiniaria           |      142
Actiniidae           |       80
Actinopterygii       |        7
Actinostolidae       |       13
Actinostoloidea      |       11
Aeolidiidae          |        1
Agonidae             |        3
Alciopidae           |        0
Alcyoniidae          |       48
Alepisauridae        |        4
Alepocephalidae      |        0
Anguilliformes       |        0
Annelida             |        2
Anoplogasteridae     |       33
Anoplopomatidae      |       20
Anotopteridae        |       14
Antedonidae          |       38
Antedonoidea         |        4
Anthoptilidae        |        4
Antipatharia         |        0
Aphrocallistidae     |       11
Articulata           |        1
Asteriidae           |      176
Asterinidae          |        0
Asteroidea           |      105
Astropectinidae      |        0
Bathylagidae         |       55
Bathyphellidae       |        0
Bathysauridae        |        6
Benthopectinidae     |        0
Brachyura            |        1
Buccinidae           |       32
Bythitidae           |        0
Caenogastropoda      |        1
Calliostomatidae     |        7
Cancridae            |        3
Caridea              |       10
Caryophylliidae      |        1
Centrolophidae       |       30
Cetomimidae          |        5
Chaetopteridae       |        2
Chaunacidae          |        1
Chiasmodontidae      |        8
Chrysogorgiidae      |        7
Cidaridae            |        2
Clavulariidae        |        1
Cliidae              |        0
Clionidae            |        4
Colossendeidae       |       18
Comatulida           |        4
Coralliidae          |        0
Cottidae             |        1
Crinoidea            |       15
Cucumariidae         |       25
Cymbuliidae          |        0
Deimatidae           |        0
Dendronotidae        |        0
Echinasteridae       |        1
Echinidea            |        0
Echinoidea           |        3
Echinothuriidae      |        1
Echiura              |        1
Elpidiidae           |      137
Eucyclidae           |        3
Euretidae            |        2
Exocoelactinidae     |        1
Farreidae            |       15
Flabelligeridae      |      159
Flabellinidae        |        0
Forcipulatida        |        0
Fungiidae            |        0
Funiculinidae        |       68
Galatheidae          |       14
Galatheoidea         |        2
Gastropoda           |       45
Gigantactinidae      |        5
Gobiidae             |        1
Goniasteridae        |       58
Gonostomatidae       |        0
Gorgoniidae          |        2
Hexactinellida       |       23
Hexagrammidae        |        5
Hippolytidae         |       10
Hirudinea            |        5
Holothuroidea        |       16
Hormathiidae         |       35
Hyalonematidae       |        1
Hyocrinida           |        1
Hyocrinidae          |        1
Icosteidae           |        3
Iosactinidae         |        2
Isididae             |      429
Kophobelemnidae      |        2
Laetmogonidae        |      102
Liparidae            |       20
Liponematidae        |      113
Lithodidae           |       67
Lithodoidea          |        0
Luidiidae            |       18
Macrouridae          |      122
Majidae              |      164
Melanocetidae        |       11
Merlucciidae         |      126
Metridiidae          |       65
Molidae              |       14
Moridae              |       53
Munididae            |       19
Munidopsidae         |       55
Myctophidae          |        4
Myxasteridae         |       19
Myxinidae            |       24
Nemichthyidae        |        0
Neogastropoda        |        1
Nephtheidae          |        7
Nettastomatidae      |        3
Nudibranchia         |        1
Oneirodidae          |       21
Ophidiidae           |        3
Opisthoproctidae     |       15
Oplophoridae         |        8
Pandalidae           |       18
Paragorgiidae        |      229
Paralepididae        |        1
Pasiphaeidae         |        0
Patellogastropoda    |        0
Pennatulacea         |       29
Pennatulidae         |        6
Pentametrocrinidae   |        0
Persiculida          |        1
Phyllodocidae        |        0
Pleurobranchaeidae   |        2
Plexauridae          |       34
Polychaeta           |        1
Polynoidae           |        0
Poraniidae           |        0
Pourtalesiidae       |        2
Primnoidae           |       10
Protoptilidae        |        4
Provannidae          |        2
Psolidae             |      109
Psychrolutidae       |       23
Psychropotidae       |        3
Pterasteridae        |       65
Pteropoda            |       11
Pycnogonida          |        4
Pycnopodiidae        |        1
Rossellidae          |       31
Rubyspira            |        0
Sabellida            |        0
Sabellidae           |        3
Salmonidae           |        0
Schizopathidae       |        4
Scleractinia         |        0
Scopelarchidae       |        1
Scorpaeniformes      |        0
Sebastidae           |      557
Sergestidae          |      146
Sergestoidea         |        2
Serpulidae           |        4
Siboglinidae         |        9
Solasteridae         |       84
Sternoptychidae      |        0
Stichaeidae          |        1
Stichopodidae        |       37
Stomiidae            |        0
Strongylocentrotidae |      636
Synallactidae        |       36
Synaphobranchidae    |        1
Thecosomata          |        0
Tomopteridae         |      312
Trachipteridae       |       22
Tretodictyidae       |        0
Tritoniidae          |        5
Umbellulidae         |       79
Virgulariidae        |       27
Zenometridae         |       23
Zoarcidae            |      118
Zoroasteridae        |       10
